depto_variante,depto_oficial,depto_id
ALTA VERAPAZ,Alta Verapaz,16
BAJA VERAPAZ,Baja Verapaz,15
CHIMALTENANGO,Chimaltenango,4
CHIQUIMULA,Chiquimula,20
EL PROGRESO,El Progreso,2
ESCUINTLA,Escuintla,5
GUATEMALA,Guatemala,1
HUEHUETENANGO,Huehuetenango,13
IZABAL,Izabal,18
JALAPA,Jalapa,21
JUTIAPA,Jutiapa,22
PETEN,Petén,17
PETÉN,Petén,17
EL PETEN,Petén,17
EL PETÉN,Petén,17
QUETZALTENANGO,Quetzaltenango,9
QUICHE,El Quiché,14
QUICHÉ,El Quiché,14
EL QUICHE,El Quiché,14
EL QUICHÉ,El Quiché,14
RETALHULEU,Retalhuleu,11
SACATEPEQUEZ,Sacatepéquez,3
SACATEPÉQUEZ,Sacatepéquez,3
SAN MARCOS,San Marcos,12
SANTA ROSA,Santa Rosa,6
SOLOLA,Sololá,7
SOLOLÁ,Sololá,7
SUCHITEPEQUEZ,Suchitepéquez,10
SUCHITEPÉQUEZ,Suchitepéquez,10
TOTONICAPAN,Totonicapán,8
TOTONICAPÁN,Totonicapán,8
ZACAPA,Zacapa,19
TODOS LOS DEPARTAMENTOS,Todos los departamentos,0
Alta Verapaz,Alta Verapaz,16
Baja Verapaz,Baja Verapaz,15
Chimaltenango,Chimaltenango,4
Chiquimula,Chiquimula,20
El Progreso,El Progreso,2
Escuintla,Escuintla,5
Guatemala,Guatemala,1
Huehuetenango,Huehuetenango,13
Izabal,Izabal,18
Jalapa,Jalapa,21
Jutiapa,Jutiapa,22
Petén,Petén,17
Peten,Petén,17
el Petén,Petén,17
el Peten,Petén,17
El Petén,Petén,17
El Peten,Petén,17
Quetzaltenango,Quetzaltenango,9
El Quiché,El Quiché,14
El Quiche,El Quiché,14
Quiché,El Quiché,14
Quiche,El Quiché,14
Retalhuleu,Retalhuleu,11
Sacatepéquez,Sacatepéquez,3
Sacatepequez,Sacatepéquez,3
San Marcos,San Marcos,12
Santa Rosa,Santa Rosa,6
Sololá,Sololá,7
Solola,Sololá,7
Suchitepéquez,Suchitepéquez,10
Suchitepequez,Suchitepéquez,10
Totonicapán,Totonicapán,8
Totonicapan,Totonicapán,8
Zacapa,Zacapa,19
Todos los departamentos,Todos los departamentos,0
